,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron
0,TaNbHfZrTi,0.12915609780416865,476.41494518958996,2.644,3.19618,0.5364617132909553,4.994417459613796,12769.215377908751,2523.0,0.08681013765684283,13.381611359171915,4.4
1,TiTa,0.1752499999999999,674.5,1.3880000000000001,3.12605,4.707130802447901,1.1065006915629283,10859.876948313995,2615.5,0.019999999999999907,5.763146321643979,4.5
2,MoZr,0.04249999999999998,384.0,-5.9879999999999995,3.1895,0.08801961326793098,8.09170600134862,2417.672605205357,2512.0,0.07499999999999996,5.763146321643979,5.0
3,MoW,0.009100000000000108,399.5,-0.221,3.1561000000000003,268.4509576286498,0.14652014652014045,85938.6819139264,3295.5,0.0,5.763146321643979,6.0
4,WTa,0.06804999999999994,202.5,-7.298,3.23325,1.1359611532326008,2.252413299964251,2757.986918106549,3492.5,0.06499999999999995,5.763146321643979,5.5
5,WZr,0.033399999999999874,783.5,-8.904,3.1986000000000003,0.09127430585426119,7.946127946127951,1884.4789437855395,2911.5,0.07499999999999996,5.763146321643979,5.0
6,MoTi,0.09809999999999985,477.5,-3.507,3.0488999999999997,0.4692736415995335,3.5044247787610505,3974.385337580828,2418.5,0.04500000000000004,5.763146321643979,5.0
7,TaZr,0.03465000000000007,581.0,2.7389999999999994,3.26665,0.17713821354814877,5.703923508077819,5700.023141779315,2709.0,0.010000000000000009,5.763146321643979,4.5
8,TiZr,0.14059999999999984,93.5,-0.222,3.0913999999999997,0.27232178086336645,4.600326264274063,52815.86122245349,2034.5,0.029999999999999916,5.763146321643979,4.0
9,WTi,0.10719999999999996,877.0,-5.636,3.0580000000000003,0.5110675781759599,3.358077059031456,2881.5731608219894,2818.0,0.04500000000000004,5.763146321643979,5.0
10,MoTa,0.07715000000000005,197.0,-4.8580000000000005,3.22415,1.0015022102929516,2.3988542785535136,3669.2901549701164,3093.0,0.06499999999999995,5.763146321643979,5.5
11,MoWZr,0.03654276005996258,639.7635989488617,-6.7167545517828,3.181368186,0.15135057099508384,7.768677482181132,3952.3905246599506,2906.3042699999996,0.07071032456438023,9.134362606477172,5.333279999999999
12,MoTiTa,0.14343071438781851,566.3757223080805,-3.1008268714211997,3.1330020029999996,1.0799237112740432,2.908322649217512,7980.045928756546,2708.9729099999995,0.05436474960854686,9.134362606477172,4.999949999999999
13,WTaZr,0.05556543901923204,664.1383977605872,-5.9834358850428,3.2328010049999993,0.19738266903105428,6.802751633203869,4637.280631487132,3037.6362899999995,0.06649945864441298,9.134362606477172,4.999949999999999
14,TiTaZr,0.15155641147704693,596.7487792530454,1.7355208446179997,3.1613350529999997,0.36306777047181094,5.015858481784002,12910.45709837358,2452.97547,0.02494425785626816,9.134362606477172,4.33329
15,MoTiZr,0.11775286364585774,413.22614629280173,-4.3185802937652,3.1099022339999998,0.20519800114240205,6.671946588044052,4910.579790740289,2321.6434499999996,0.06164383180821902,9.134362606477172,4.66662
16,MoWTa,0.06884968600799862,326.1990570495261,-5.5007788716612,3.2044679549999997,1.8654378840537498,2.212833449762277,5469.269986062605,3293.6337299999996,0.06128228128912951,9.134362606477172,5.66661
17,MoWTi,0.09706366299702471,717.0073400042708,-4.1616945426384,3.0876357899999998,0.8519186763373278,3.2744627497963736,6242.136996214837,2843.9715599999995,0.0424261947386282,9.134362606477172,5.333279999999999
18,WTiTa,0.14427556449447695,749.8363818994114,-5.131452924957599,3.1390686089999997,1.1819845920121352,2.7799258774797364,5296.258615544879,2975.3035799999993,0.05436474960854686,9.134362606477172,4.999949999999999
19,WTiZr,0.11995450293507107,786.4772604087165,-6.5607576717672,3.11596884,0.2120808543593943,6.562788248436332,3603.1652456828438,2587.97412,0.06164383180821902,9.134362606477172,4.66662
20,MoTaZr,0.0631009963296936,482.5030854201867,-3.6030390492492,3.2267343989999997,0.1918338171486776,6.90043611703638,7025.766326824289,2771.3056199999996,0.06649945864441299,9.134362606477172,4.999949999999999
21,MoWTaZr,0.06080330480327528,578.4256110339513,-6.1325,3.211375,0.2523504961880669,6.758382060393525,5642.855619781699,3002.25,0.07035623639735139,11.526292643287958,5.25
22,MoWTiZr,0.10474782813977566,694.0471885974325,-6.1195,3.12375,0.254623598171421,6.728147368710954,5019.6208667967,2665.0,0.06363961030678926,11.526292643287958,5.0
23,MoWTiTa,0.1249937473436171,650.2885897814908,-5.033,3.1410750000000003,1.2862243840081102,2.9935495533847583,6768.519353713005,2955.5,0.056789083458002716,11.526292643287958,5.25
24,MoTaTiZr,0.13139970272036378,551.254194995376,-2.612,3.1577749999999996,0.3222989379901752,5.980195524886995,11313.373952614664,2563.75,0.05760859310901452,11.526292643287958,4.75
25,WTiTaZr,0.13126285413246191,745.8654369254551,-4.48325,3.162325,0.3313798912839089,5.897687342500226,7104.870288234266,2763.5,0.05760859310901452,11.526292643287958,4.75
26,MoTaTiWZr,0.1175649879853691,669.2243271131139,-5.2011199999999995,3.1592599999999997,0.36490021232611014,6.055738989829935,7178.203097042492,2790.0,0.06343500610861479,13.381611359171915,5.0
27,Al0.25MoNbTiV,0.28802768230785614,611.9527090093088,-8.4703560579396,3.1624227680000003,0.793463108719686,4.002023254256121,3531.291358788328,2353.6900054000002,0.07696197211455762,12.7082560084964,4.88226
28,Al0.25NbTaTiV,0.29338939016600935,757.0569095296904,-7.152278955280799,3.1987280150000004,0.8656489831933194,3.831528549726134,4346.783006759852,2446.3942653999998,0.09602432572647185,12.7082560084964,4.64697
29,Al0.2MoTaTiV,0.2777854288628443,776.2768735864337,-7.388005261912,3.1522059,0.7751596024275512,4.026793066004695,4252.012099158412,2499.2628414,0.09751246056640303,12.56926132054957,4.90486
30,Al0.3HfNbTaTiZr,0.25373974935167287,667.7673534355226,-6.437977751807999,3.2444779119999994,0.5828720859692111,4.976073322938783,5454.378303172226,2433.0326019999998,0.11371584832865479,14.432673913576707,4.32076
31,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.26456050157950634,599.8733379332007,-7.394513599999999,3.2190020000000006,0.3493280861045457,6.2082328635685,4217.8388389711845,2316.4882000000002,0.0835670700694958,13.463857341203218,4.34
32,Al0.4Hf0.6NbTaTiZr,0.2773306497882988,710.3785979315537,-9.678214399999998,3.2644279999999997,0.5918186119612739,4.949952532487688,3591.6936192197763,2397.1976,0.1051686265004921,14.500757428557808,4.32
33,Al0.5CrNbTi2V0.5,0.35275735711675804,499.66335275863486,-14.92672,3.1303500000000004,0.305591463022211,6.325932386493465,1699.200067185764,2074.047,0.11934362153043628,12.228982094843118,4.6
34,Al0.5HfNbTaTiZr,0.2827900100366796,679.0043738896753,-11.421649917175197,3.273787283,0.5976765307272663,4.959030353578801,3060.8207140094464,2378.5210577,0.1202722979099737,14.698050513986049,4.27277
35,Al0.5MoNbTiV,0.3317502314596029,634.9873622304613,-13.1778105139104,3.2117345490000004,0.8504955090275776,3.931507360547982,2269.2981362639302,2274.8072517,0.07851051727847269,13.145896566360983,4.777730000000001
36,Al0.5NbTa0.8Ti1.5V0.2Zr,0.31781405900305937,654.2731648205053,-12.616299199999997,3.246078,0.4887572489636316,5.309542581991709,2473.644737975632,2264.967,0.08613316666650543,13.778674094945384,4.3
37,Al0.5NbTaTiV,0.3312326620647656,752.749891006774,-12.700387963739201,3.246023095,0.9413693451892814,3.736931004933578,2445.2296807863595,2362.3619317,0.09622206186732866,13.145896566360983,4.555510000000001
38,Al0.6MoTaTiV,0.3465139940920408,776.4405752168178,-14.837116481114801,3.2301383340000003,0.8650917202777234,3.9124608904851303,2109.037803959014,2363.0433921,0.09585356146153393,13.24226193434633,4.739090000000001
39,Al0.75HfNbTaTiZr,0.31328773821434197,703.1523289296026,-16.673447910424795,3.307414604,0.6105066954299615,4.93285757000787,2063.1499677150214,2315.6271420999997,0.12766421421793953,14.855510584011567,4.21731
40,Al0.75MoNbTiV,0.3663996768279338,665.018355574476,-16.8732676307004,3.2558845009999997,0.8934835452996254,3.8629411230838713,1741.7550806702216,2204.2636783,0.08093706473336641,13.332842124380804,4.684270000000001
41,Al1.5MoNbTiV,0.43979479329377963,769.092821483235,-23.876708931974395,3.3641154589999998,0.9836992858846394,3.67073971155525,1127.451498832216,2030.9666731,0.09048240348768995,13.254688828273856,4.45459
42,AlCr0.5NbTiV,0.429937059036139,624.3175831372636,-22.975145428470405,3.285678254,0.41964482448584645,5.596985345344345,1131.3099775992112,1977.1957834,0.10693119618604194,13.145896566360983,4.444400000000001
43,AlMoNbTiV,0.3949431837619179,698.6842252004835,-19.78224,3.2955400000000004,0.9284149311464174,3.7964977611741086,1448.0632702318421,2140.694,0.08388945106507742,13.381611359171915,4.6
44,AlMoTaTiV,0.3949455628311325,816.3490323041977,-19.904480000000003,3.29572,0.9248845829965213,3.8037366066696743,1511.777709023382,2248.694,0.09898605962457549,13.381611359171915,4.6
45,AlNb1.5Ta0.5Ti1.5Zr0.5,0.3917954865743096,776.1651075338289,-22.28772,3.33859,1.032281072254456,3.4814151184959066,1198.956165209227,2135.794,0.10155653597873464,12.511505932902233,4.2
46,AlNbTaTiV,0.3880999716567885,795.0054290028465,-20.526720000000005,3.3264,1.0519937433516828,3.56654434166941,1446.9143692715595,2219.494,0.10145264905363495,13.381611359171915,4.4
47,AlNbTiV,0.4336820343004769,657.2079752017241,-24.487000000000005,3.332675,0.7398549696425205,3.94703995988979,918.7648959007985,1951.8675,0.09360388613727542,11.526292643287958,4.25
48,CoCrMoNbTi0.4,0.29174141438540446,450.97918889815236,-12.529353027777601,2.9647021430000002,0.24483070008799945,6.458235526797784,1920.8936563461102,2356.8846900000003,0.18253655204804414,10.211596202094604,6.272659999999999
49,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.1305733542373881,531.76945164352,2.4344937844759995,3.2215329310000005,0.4836065229497091,5.072947009589686,13666.555693551389,2673.3445999999994,0.07888850194667166,12.445512969463774,4.61478
50,Hf0.5Mo0.5NbTiZr,0.1330629550250556,365.8972704188978,-0.22618749999999976,3.1637249999999995,0.38691701792140987,5.789114857545765,136442.7678470452,2380.0,0.08763382623165554,12.967079223698953,4.5
51,Hf0.5Nb0.5Ta0.5Ti1.5Zr,0.15375513355250922,456.73980557862484,1.807625,3.1393125,0.5232612520061373,4.872575278706341,16000.503392830542,2328.125,0.07351657976266304,12.423263332280401,4.25
52,Hf0.75NbTa0.5Ti1.5Zr1.25,0.14466289062852283,434.1706605702417,2.2707699999999993,3.16291,0.5311133014698364,4.917162722135496,13398.152455474281,2369.2,0.08012490249604053,12.841517242663063,4.3
53,HfMo0.25NbTaTiZr,0.12836356924536463,472.13581880439364,1.5345012875071997,3.193901972,0.5019729187874589,5.3441408323911626,23737.85509720662,2540.81272,0.0907973337137375,14.33626686555745,4.47628
54,HfMo0.5NbTaTiZr,0.1247370737803757,466.91976228937193,0.6111196602264002,3.1917410079999997,0.4816678411520601,5.5240301736302975,61496.88389949497,2556.93466,0.0932255115298382,14.698050513986049,4.5455000000000005
55,HfMo0.5NbTiV0.5,0.13303193225688328,352.07161469649895,-0.7322499999999998,3.134025,0.3231717212239926,6.334384277482892,43104.80261575448,2434.125,0.13170160401452982,12.967079223698953,4.625
56,HfMoNbTaTiZr,0.11932012737051803,456.5854883936487,-0.8091434758792007,3.188047093,0.44539668326130083,5.783428575096229,47598.079280354366,2585.21837,0.09655262123146459,14.89764878704606,4.66676
57,HfMoNbTiZr,0.11833279173584971,361.84217554066305,-1.5108800000000002,3.16532,0.3599460392127977,6.097271120934508,21647.870435830766,2444.2,0.1057166022912201,13.381611359171915,4.6
58,HfMoTaTiZr,0.11853863505203686,493.5975688756986,-1.84064,3.1654999999999998,0.36105482893455565,6.087901643792076,18554.7138554408,2552.2,0.1011137972781163,13.381611359171915,4.6
59,HfNb0.18Ta0.18Ti1.27Zr,0.1421282378967104,397.55495306576165,0.8774301095551998,3.1306408229999994,0.49468685283678454,4.808517890202445,29398.202905631915,2255.17618,0.09865456547301793,11.438072388745525,4.0991800000000005
60,HfNbTaTiZr,0.12915609780416865,476.41494518958996,2.6439999999999997,3.19618,0.5364617132909553,4.994417459613796,12769.215377908755,2523.0,0.08681013765684283,13.381611359171915,4.4
61,HfNbTaZr,0.04511736777561377,421.73777397809647,3.3089999999999997,3.257525,0.4007181498202459,5.363216319926807,9295.228745425784,2668.5,0.09148087231765996,11.526292643287958,4.5
62,HfNbTiVZr,0.1305766656030088,288.8173125004801,0.16176000000000035,3.1419200000000003,0.2679136952465647,7.067352431102038,190400.07853777206,2301.6,0.12116104984688769,13.381611359171915,4.4
63,HfNbTiZr,0.13190310837883984,316.02798531142776,2.3765,3.1698999999999997,0.48551892457639834,4.872386594327409,11306.82504719758,2331.25,0.0965336728815391,11.526292643287958,4.25
64,HfTaTiZr,0.13212610217137255,517.3114994855614,1.68,3.170125,0.4896451135435587,4.851813610897991,16920.666209231505,2466.25,0.08366600265340758,11.526292643287958,4.25
65,Mo0.1NbTiV0.3Zr,0.16048986196754875,359.5007916341774,0.7946897621728002,3.149119254,0.2773827491719425,6.472764831206572,33392.13295102513,2283.40356,0.0655328743662581,11.621417544471502,4.44122
66,Mo0.3NbTiV0.3Zr,0.152111591492417,377.9711497471869,-0.22163689752480026,3.1489727059999995,0.2938594611749557,6.474570625403868,128802.22160742809,2317.41489,0.06487135474429369,12.318607649652304,4.52777
67,Mo0.3NbTiVZr,0.1400339968439354,335.3474446335522,-1.1110030833024,3.129635982,0.2544976154465149,7.099125012971114,26501.262767188484,2295.5590399999996,0.07596678914861063,12.826062903506722,4.6047
68,Mo0.5NbTiV0.3Zr,0.1450631051444539,391.27162788983566,-1.0342126525823998,3.1488996719999993,0.30238245149873383,6.467565903990498,28714.84651189275,2347.8915700000002,0.06431232329756659,12.648479154240103,4.60531
69,Mo0.5NbTiVZr,0.1358128914082409,349.9899959713135,-1.6096468189264,3.130346474,0.2664842849133934,7.023592460450538,18965.2708293289,2322.199,0.07483277356880473,13.145896566360983,4.66662
70,Mo0.7NbTiV0.3Zr,0.13913660472715275,400.89965078558004,-1.6870999999999996,3.148775,0.3071933002684411,6.45404523796837,18015.60380540997,2375.275,0.0638337684928596,12.796044744337879,4.675
71,Mo0.7NbTiVZr,0.13224873302866186,361.2929869579922,-2.0213843374875995,3.1311477439999997,0.27532521815445526,6.952621887315664,15450.739129787684,2346.6857800000002,0.07382283811187065,13.308932259162368,4.7235
72,Mo1.3NbTiV0.3Zr,0.12651370231233539,416.1417711038343,-2.9855397831751995,3.148543118,0.3115308926459851,6.391071013897241,10413.192402282366,2443.19623,0.06275819623411748,12.724725015997478,4.84783
73,Mo1.3NbTiVZr,0.12460064102411302,382.15415536594963,-2.8769301793728,3.1328867359999992,0.2915230161416302,6.762314943451818,11161.951918480572,2408.82824,0.07136573837465705,13.331027842393977,4.86792
74,Mo1.5NbTiV0.3Zr,0.12361879897882536,418.33138606668695,-3.265310791691199,3.148447556,0.31127521878656433,6.365890702735928,9511.15902454917,2462.03977,0.06248723507121648,12.614292662035897,4.89579
75,MoNbTaTi0.25W,0.10215797782214865,487.4737814931765,-6.1189694620428,3.212077587,1.684364811139775,2.7467864584233115,6409.44082226484,3086.11761,0.055246714819344366,12.7082560084964,5.4116599999999995
76,MoNbTaTi0.5W,0.11306318049293387,526.950908754,-5.7434900667472,3.1975902460000003,1.802148447688181,2.700846016222384,6918.059384733847,3022.52533,0.053182391613933365,13.145896566360983,5.333280000000001
77,MoNbTaTi0.75W,0.12167377606276826,559.6866758157737,-5.4112553774172,3.184665179,1.81966254409569,2.706860910152894,7307.139054748477,2965.6689200000005,0.0517536199747244,13.332842124380804,5.2632200000000005
78,MoNbTaTiV,0.14107972214319103,488.6033155843296,-2.2783999999999995,3.1458999999999997,0.936044192147643,3.7809943622474416,15340.927348207975,2612.0,0.06711184694225007,13.381611359171915,5.0
79,MoNbTaTiVW,0.12898956346044688,601.5420353100855,-4.049161961619601,3.149179649,1.1652021755006035,3.5756765174897884,10274.352240252334,2792.55585,0.06342162617488349,14.89764878704606,5.1667700000000005
80,MoNbTaTiW,0.12868668307171485,587.4155598892492,-5.114719999999999,3.1729399999999996,1.768725029725688,2.7505785091554222,7624.927297128804,2914.4,0.05083306010855532,13.381611359171915,5.2
81,MoNbTaV,0.11394892221956293,397.134973906857,-3.1115,3.1946749999999997,0.9600895892203476,3.464885923713549,10297.352394401318,2779.75,0.07048936089935841,11.526292643287958,5.25
82,MoNbTaVW,0.10259868225274632,510.10014702997296,-4.64176,3.18878,1.350311497426964,3.1480181200990844,8541.38045374051,2962.8,0.06437390775772431,13.381611359171915,5.4
83,MoNbTaW,0.07266117859627655,367.72977510666715,-6.546749999999999,3.2284749999999995,2.159195758448396,2.3104619019761863,5559.575452605118,3157.75,0.05356071321407134,11.526292643287958,5.5
84,MoNbTiV,0.13165389284028017,393.40214793516316,-2.4472500000000004,3.1070499999999996,0.6938340640837108,4.0758389188863635,11503.920637953144,2442.5,0.05760859310901461,11.526292643287958,5.0
85,MoNbTiV0.25Zr,0.1323490660389014,414.83029044607144,-2.426087105085599,3.1499843579999998,0.3123788798122688,6.378258933000483,12646.232438052077,2414.2464099999997,0.062241013358354594,12.7082560084964,4.76461
86,MoNbTiV0.3Zr,0.13198534530729028,410.5197375826603,-2.4383200738463993,3.148682412,0.31063676689887765,6.425697166418208,12685.658759780252,2411.6283099999996,0.0632391940714248,12.826062903506722,4.76749
87,MoNbTiV0.5Zr,0.13063621227430677,395.79786753257434,-2.4753085177783998,3.1433463440000002,0.3029022046863282,6.587852824047659,12753.490871295216,2401.42043,0.06666633333250002,13.145896566360983,4.77773
88,MoNbTiV0.75Zr,0.129177231693233,382.43524143158214,-2.5010560371884005,3.1374427059999994,0.2933791076208908,6.741348464771246,12740.670267605377,2389.97282,0.06997421356895948,13.332842124380806,4.7895199999999996
89,MoNbTiVZr,0.12792262661468445,373.6814686333803,-2.5092799999999995,3.13204,0.2849013587172817,6.853413663196941,12690.047499794959,2379.6,0.07249827584156743,13.381611359171915,4.8
90,MoNbTiZr,0.13115428891195274,403.0740471675149,-2.3449999999999998,3.15755,0.3214581092662352,5.988011529853823,11937.945951976815,2428.75,0.054083269131959814,11.526292643287958,4.75
91,MoTaTiV,0.13198449482799102,540.8005639789959,-2.406,3.1072749999999996,0.690133097434326,4.08675302704337,12347.888315908027,2577.5,0.0744983221287567,11.526292643287958,5.0
92,NbTaTiV,0.15773072584312792,522.6963745808841,-0.07550000000000001,3.145625,0.7445000761449666,3.9347074502641015,387924.6305509231,2541.0,0.07088723439378913,11.526292643287958,4.75
93,NbTaTiVW,0.14129576922187015,656.9960121644575,-3.56512,3.14954,0.9564480300453376,3.7404471064456026,10403.899550464703,2771.8,0.06711184694225007,13.381611359171915,5.0
94,NbTaVW,0.11230592983008511,569.0854505256658,-4.5897499999999996,3.1992249999999998,0.9784848867907165,3.4321618514934795,7482.4530596822215,2979.5,0.07048936089935841,11.526292643287958,5.25
95,NbTiV0.3Zr,0.15002401737608667,334.7013681597845,1.3972714633332002,3.1491513959999997,0.2569561233265396,6.49415135217757,17565.330321606474,2264.8181,0.06633877180533274,10.83686800383753,4.39394
